position,kind,key,classes,text
128,exact,93.128,CONJ VACL,male ceia hia etnam ciz vacl vile vale
129,exact,93.129,VERB-R,staile itrile hia ciz trinthasa sacnit
130,exact,93.130,—,an cilth cechane sal sucivn firin arth
131,exact,93.131,CAL,vachr celi cilthcval svem cepen tutin
132,exact,93.132,CONJ,renchzua etnam cepen ceren sucic firin
133,exact,93.133,CONJ,tesim etnam celucum caitim caperchva
134,exact,93.134,—,hecia aisna clevanth chim enac usil
135,exact,93.135,—,repine
136,exact,93.136,CONJ,zelvth murss etnam thacac usli nechs
137,exact,93.137,CONJ VERB-R,acil ame etnam cilthcveti hilare cil
138,exact,93.138,CONJ VACL VERB-R,vacl cepen oaurch cerene acil etnam
139,exact,93.139,CONJ VERB-R,ic clevanth sucich iri nvene acil etnam
140,exact,93.140,CONJ VACL VERB-R,tesim etnam celucn vacl ara euml
141,exact,93.141,—,sacnicleri cilthl cepen cilec va cepen
142,exact,93.142,—,cnticnth in ceren cepar nac amce
145,herbig,94.905,CONJ,suci firin etnam etnam ais
146,herbig,94.908,CONJ VERB-R,cereni enas ara eunl etnam ceren
147,herbig-geo,94.910,—,ic esvitn
148,herbig-geo,94.912,CONJ,culscva spetri etnam
149,herbig-geo,94.913,CAL THEO,celi huthis zathrumis flerchva nethunsl
150,herbig-geo,94.914,VERB-R,sucri thezeric scara prithas rach tei
151,herbig-geo,94.915,OFFER,menas cltral mulach husina vinum
152,herbig-geo,94.916,VERB-R,paiveism acilth ame ranem scare
154,herbig-geo,94.918,OFFER VERB-R,reuchzineti ramueth vinum acilth ame
155,herbig-geo,94.919,VACL,mula hursi puruthn vacl us clucthras
156,herbig-geo,94.909,—,vacltnam in
158,herbig-geo,94.922,—,mlach puths oaclth sar tei zivas fle
159,herbig-geo,94.923,VERB-R,thezine ruze nuzlchne zati zatlchne
179,exact,94.179,—,ec
180,exact,94.180,—,repinec sacnicleri cilthl spureri
181,exact,94.181,VERB-R,methlumeric enas rachth tur hechsth
182,exact,94.182,OFFER THEO VERB-R,vinum trin flere nethunsl un mlach
183,exact,94.183,OFFER VERB-R,nunthen zusleve zarve faseic ecn zeri
184,exact,94.184,OFFER VERB-R,lecin in zec fler thezince sacnics tres
185,exact,94.185,THEO,cilths spurestres enas ethrse tinsi
186,exact,94.186,CAL,tiurim avils chis cisum ute tul thans
187,exact,94.187,—,hafec rep nec sacnicleri cilthl spureri
188,exact,94.188,VERB-R,methlumeric enas rachth suth nunthenth
189,exact,94.189,OFFER THEO,zusleve faseic farthan fleres nethuns
190,exact,94.190,VERB-R,rachth cletram srenchve nunthenth
191,exact,94.191,OFFER,estrei alazei zusleve rachth eim tul var
192,exact,94.192,VERB-R,nunthenth estrei alazei tei fasi eim
193,exact,94.193,OFFER VERB-R,tul var suth nunthenth flere nethu nsl
194,exact,94.194,OFFER VERB-R,un mlach nunthen chis esvisc fasei
195,exact,94.195,—,cisum pute tul thans hathec repinec
196,exact,94.196,—,sacnicleri cilthl spureri methlumeric
197,exact,94.197,OFFER THEO VERB-R,enas sin vinum flere nethunsl chis
198,exact,94.198,OFFER,nacum sna hinthu vinum trau pr ucuna
199,exact,94.199,—,in
200,exact,94.200,—,ciem cealchus lauchumneti eisna thachse
203,exact,94.203,—,cus pethereni ciem cealchuz capen
204,exact,94.204,—,marem zach ame nacum cepen flanach
205,exact,94.205,VACL,vacl ar ratum churu pethereni thucu
206,exact,94.206,—,arus ame acnesem ipa sethumati simlch
207,exact,94.207,VERB-R,ais zarve acil laes ulusi
208,exact,94.208,VERB-R,thuni serue acil ipei thuta cnl cha sri
209,exact,94.209,VERB-R,hechz sul scvetu caenis scanin veltha
210,exact,94.210,VERB-R,ipe ipa mathcva ama trinum hetrn ac lchn
211,exact,94.211,CONJ,is cemnac ich veltha etnam tesim etn
211,exact,95.211,—,am
212,exact,95.212,VACL,celucn hinththin chimf ananc vacl
213,exact,95.213,VERB-R,scanin chasta upur lmsen macn ur
214,exact,95.214,—,eimitle cafnaim el faci thimitle unuth
215,exact,95.215,—,huteri ipa eucu petna ama nac cal
216,exact,95.216,—,hinthu hechz velee sancve nuthin
217,exact,95.217,—,sarsnaus teis tura cafnal thuium
218,exact,95.218,—,churu cepen sulchva mathcvac pruth seri
219,exact,95.219,VACL,vacl arafi uceti cepen
220,exact,95.220,—,zanes vuvcnics plutim tei mutzi cesas
221,exact,95.221,VERB-R,ara ratum aisna leitrum zutheva zal
222,exact,95.222,—,efilc ci halchza thu es zal mula antic
223,exact,95.223,OFFER,thapna thapn zac lena esera eec veisna
224,exact,95.224,—,hausti fanuse neris sane lpa eu neri
225,exact,95.225,—,qqqj
226,exact,95.226,OFFER,santic vinum thu thapnai thuiarafi mucum
227,exact,95.227,VACL,halchze thui eil vacl cesasin thumsa cisva
228,exact,95.228,—,neri vanva farsi putnam thu cal atnam
229,exact,95.229,—,tei lena haustis enac es catni heci
230,exact,95.230,—,spurta sulsle napti thu lais cla hechz
232,exact,95.232,—,une mlach nl
233,exact,95.233,CAL CONJ,acale etnam
234,exact,95.234,CAL OFFER VACL,vacl vinum santisas celi pen tr utum
235,exact,95.235,CAL OFFER,thapnests tritanasa hanthin celi
236,exact,95.236,OFFER VACL,tur hetum vinum thic vacl hechz etn am
237,exact,95.237,—,ich matam cnticnth cepen tefiamitn
238,exact,95.238,CONJ VERB-R,nunthen etnam el truth etnam
239,exact,95.239,CONJ,hanthin etnam celucn etnam athumitn
240,exact,95.240,CAL,pethereni eslem zathrum mur in veleinefi
241,exact,95.241,VACL VERB-R,ciloth vacl ara thu useti catneis sl apichun
242,exact,95.242,—,slaplnafi favin ufli spurtn eisna hino
