position,kind,key,classes,text
181,exact,94.181,VERB-R,methlumeric enas rachth tur hechsth
182,exact,94.182,OFFER VERB-R,vinum trin flere negunsl un mlach
183,exact,94.183,OFFER,nungen zusleve zarve faseic ecn zeri
184,exact,94.184,OFFER VERB-R,lecin in zec fler thezince sacnics tres
185,exact,94.185,THEO,cilths spurestres enas ethrse tinsi
186,exact,94.186,CAL,tiurim avils chis cisum ute tul thans
187,exact,94.187,—,hafec rep nec sacnicleri cilthl spureri
188,exact,94.188,VERB-R,methlumeric enas rachth suo nunthenth
189,exact,94.189,OFFER THEO,zusleve faseic farthan fleres nethuns
190,exact,94.190,VERB-R,rachth cletram srenchve nunthenth
191,exact,94.191,OFFER,estrei alazei zusleve rache eim tul var
192,exact,94.192,VERB-R,nuntheno estrei alazei tei fasi eim
193,exact,94.193,OFFER VERB-R,tul var suth nunthenth flere nethu nsl
194,exact,94.194,OFFER VERB-R,un mlach nunthen chis esvisc fasei
195,exact,94.195,—,cisum pute tul thans hathec repinec
196,exact,94.196,—,sacnicleri cilthl spureri methlumeric
197,exact,94.197,OFFER THEO VERB-R,enas sin vinum flere nethunsl chis
198,exact,94.198,OFFER,nacum sna hinthu vinum trau pr ucuna
199,exact,94.199,—,in
200,exact,94.200,—,ciem cealchus lauchumneti eisna thachse
203,exact,94.203,—,cus pethereni ciem cealchuz capen
204,exact,94.204,—,marem zach ame nacum cepen flanach
205,exact,94.205,VACL,vacl ar ratum churu pethereni thucu
206,exact,94.206,—,arus ame acnesem ipa sethumati simlch
207,exact,94.207,VERB-R,ais zarve acil laes ulusi
208,exact,94.208,VERB-R,thuni serue acil ipei thuta cnl cha sri
209,exact,94.209,VERB-R,hechz sul scvetu caenis scanin veltha
210,exact,94.210,VERB-R,ipe ipa mathcva ama trinum hetrn ac lchn
211,exact,94.211,CONJ,is cemnac ich veltha etnam tesim etn
211,exact,95.211,—,am
212,exact,95.212,VACL,celucn hinththin chimf ananc vacl
213,exact,95.213,VERB-R,scanin chasta upur lmsen macn ur
214,exact,95.214,—,eimitle cafnaim el faci thimitle unuth
215,exact,95.215,—,huteri ipa eucu petna ama nac cal
216,exact,95.216,—,hinthu hechz velee sancve nuthin
217,exact,95.217,—,sarsnaus teis tura cafnal thuium
218,exact,95.218,—,churu cepen sulchva mathcvac pruth seri
219,exact,95.219,VACL,vacl arafi uceti cepen
220,exact,95.220,—,zanes vuvcnics plutim tei mutzi cesas
221,exact,95.221,VERB-R,ara ratum aisna leitrum zutheva zal
222,exact,95.222,—,efilc ci halchza thu es zal mula antic
223,exact,95.223,OFFER,thapna thapn zac lena esera eec veisna
224,exact,95.224,—,hausti fanufie neris sane lpa eu neri
225,exact,95.225,—,qqqj
226,exact,95.226,OFFER,santic vinum thu thapnai thuiarafi mucum
227,exact,95.227,VACL,halchze thui eil vacl cesasin thumsa cisva
228,exact,95.228,—,neri vanva farsi putnam thu cal atnam
229,exact,95.229,—,tei lena haustis enac es catni heci
230,exact,95.230,—,spurta sulsle napti thu lais cla hechz
232,exact,95.232,—,une mlach nl
233,exact,95.233,CAL CONJ,acale etnam
234,exact,95.234,CAL OFFER VACL,vacl vinum santisas celi pen tr utum
235,exact,95.235,CAL OFFER,thapnests tritanasa hanthin celi
236,exact,95.236,OFFER VACL,tur hetum vinum thic vacl hechz etn am
237,exact,95.237,—,ich matam cnticnth cepen tefiamitn
238,exact,95.238,CONJ VERB-R,nunthen etnam el truth etnam
239,exact,95.239,CONJ,hanthin etnam celucn etnam athumitn
240,exact,95.240,CAL,pethereni eslem zathrum mur in veleinefi
241,exact,95.241,VACL VERB-R,ciloth vacl ara thu useti catneis sl apichun
242,exact,95.242,—,slaplnafi favin ufli spurtn eisna hino
44–75,interval,92.900,—,scan in cesasi sas
44–75,interval,92.901,VERB-R,rachth tur nunthenth fas cntram el
44–75,interval,92.902,CAL OFFER VERB-R,var celi sue hechsth vinm trin fler
44–75,interval,92.903,—,in un mlach nunsen chis esv
44–75,interval,92.904,OFFER,fasei cisum pute tul sans hatec rep
108–142,interval,93.900,OFFER,sue el sna pevach vinum trau pruchs
108–142,interval,93.901,OFFER VERB-R,vinum trin eiser sic seucnunthen etn
108–142,interval,93.902,—,ecn zeri lecin inc zec fasle
108–142,interval,93.903,—,hemsince
108–142,interval,93.904,—,sacnicstres cilths spurestresc
108–142,interval,93.905,CAL THEO,enas ethrse tinsi tiurim avils ch is
108–142,interval,93.906,—,cisum pute tul thansur hathrthi repi
108–142,interval,93.907,—,sacnicleri cilthl spureri methlumeric
108–142,interval,93.908,CONJ VERB-R,enas rachth sue nunthenth etnam farfan
108–142,interval,93.909,THEO,aiseras seus cletram srencve racth
108–142,interval,93.910,VERB-R,sue nunthenth estrel eim tul
108–142,interval,93.911,CAL VERB-R,var celi sub nunthenth eiser sic seuc
108–142,interval,93.912,VERB-R,unum muach nunthen chis esvisc fase
108–142,interval,93.913,—,cisum pute tul thansur hathrthi rep ns
108–142,interval,93.914,—,sacnicleri cilthl spureri methlumeri
108–142,interval,93.915,VERB-R,enas sin eiser sic seuc chis esvis
108–142,interval,93.916,VERB-R,fase sin eiser faseis rachth sutanas
108–142,interval,93.917,CAL VACL,celi sue vacl thesnin rach cresverae
108–142,interval,93.918,—,hevtai truth erc suthce citz
108–142,interval,93.919,—,hetrn aclchn ais cemnac trutht rachs
108–142,interval,93.920,THEO VACL VERB-R,citz vacl nunthen thesan tins thesan
108–142,interval,93.921,THEO VERB-R,eiseras seus unum mlach nunthen
108–142,interval,93.922,OFFER,favitic fasei cisum thesane uslanec
108–142,interval,93.923,—,mlach eluri zeric zec athelis sacni
108–142,interval,93.924,—,cilthl spural methlumesc enas cla thes
108–142,interval,93.925,—,lch reuscesc aniach urch hilch
108–142,interval,93.926,—,leives turi thui streteth face
108–142,interval,93.927,—,apnis aniach apnis urch pethereni snu
1–211,interval,94.900,—,rin velthre
1–211,interval,94.901,—,cl aisval
1–211,interval,94.902,—,isa sacnit
1–211,interval,94.903,—,cic
1–211,interval,94.904,—,caperchva
1–211,interval,94.905,CONJ,suci firin etnam etnam ais
1–211,interval,94.906,VACL,vacl ar var scun zeri ceren cepe
1–211,interval,94.907,CONJ,thaurch etnam ich matam sucic firin
1–211,interval,94.908,CONJ VERB-R,cereni enas ara eunl etnam ceren
1–211,interval,94.909,—,vacltnam in
1–211,interval,94.910,—,ic esvitn
1–211,interval,94.911,—,thucte cis saris esvitn
1–211,interval,94.912,CONJ,culscva spetri etnam
1–211,interval,94.913,CAL THEO,celi huthis zathrumis flerchva nethunsl
1–211,interval,94.914,VERB-R,sucri thezeric scara prithas rach tei
1–211,interval,94.915,OFFER,menas cltral mulach husina vinum
1–211,interval,94.916,VERB-R,paiveism acilth ame ranem scare
1–211,interval,94.917,OFFER,reuchzina caveth zuslevac maera sur
1–211,interval,94.918,OFFER VERB-R,reuchzineti ramueth vinum acilth ame
1–211,interval,94.919,VACL,mula hursi puruthn vacl us clucthras
1–211,interval,94.920,VACL,caperi zamfic vacl ar flereri sacnisa
1–211,interval,94.921,OFFER THEO VERB-R,sacnicleri trin flere nethunsl une
1–211,interval,94.922,—,mlach puths oaclth sar tei zivas fle
1–211,interval,94.923,VERB-R,thezine ruze nuzlchne zati zatlchne
1–211,interval,94.924,—,sacnicstres ci los spurestres enas
1–211,interval,94.925,CAL THEO,ethrse tinsi tiurim avils chis hetrn
1–211,interval,94.926,OFFER VACL VERB-R,aclchn is cemnach thezin fler vacl
1–211,interval,94.927,CONJ VERB-R,etnam tesim etnam celucn trin alc
1–211,interval,94.928,VERB-R,theusnua caperc heci nachva ara nunoe
1–211,interval,94.929,—,sathas nachve hetum ale huslnests
1–211,interval,94.930,OFFER THEO VERB-R,trin flere nethunsl un mlach nunthen
1–211,interval,94.931,OFFER,thaclthi thachthiv cialchus huslne vinum esi
1–211,interval,94.932,OFFER,esera muera cuse faseic sacnicstreg
1–211,interval,94.933,THEO,cilths spurestres enas egrse tinsi
1–211,interval,94.934,OFFER,zusleve zarve ecn zer lecin in
1–211,interval,94.935,OFFER VERB-R,fler thezince sacnicstres cilths
1–211,interval,94.936,CAL THEO,spurestres enas ethrse tinsi tiurim
1–211,interval,94.937,—,avils chis cisum pute tul bans hae
211–242,interval,95.900,CAL CONJ,eslem cealchus etnam aisna cesal
211–242,interval,95.901,—,tuchlac ethri suntnam cecha
211–242,interval,95.902,OFFER THEO VERB-R,cntnam thesan fler veives thezeri
211–242,interval,95.903,CAL CONJ,etnam aisna ich huthis zathrumis
211–242,interval,95.904,THEO VERB-R,flerchve trin nethunsl ln thunt
211–242,interval,95.905,—,el tul var
211–242,interval,95.906,CAL CONJ,thunem cialchus etnam ich eslem cialchus
211–242,interval,95.907,CONJ,tunt enac etnam aeum ca thluthcva
211–242,interval,95.908,—,cesum tei lanti ininc efi tei rin
211–242,interval,95.909,—,streta satrs thucu
211–242,interval,95.910,—,thui arag mucum aniacheg rasna hilar
211–242,interval,95.911,THEO,aisna ich nac reusce aiseras geug
211–242,interval,95.912,—,thunchulem muth hilarthune etertic
211–242,interval,95.913,—,cathre chim enach unchva meflumf puts
211–242,interval,95.914,—,muth hilarthuna tecum etrinthi muth
211–242,interval,95.915,—,nac thuca unchva hetum hilarthuna thenth
211–242,interval,95.916,—,hursic caplthu cecham enac eisna hinthu
211–242,interval,95.917,—,hetum hilarthuna etertic cathra
211–242,interval,95.918,CONJ,etnam aisna ich matam vacltnam
211–242,interval,95.919,—,cus eluce caper zamtic svem bums
211–242,interval,95.920,—,matan cluctras hilar
211–242,interval,95.921,THEO,cilths spurestrefic enag ethrse tinsi
211–242,interval,95.922,CAL,tiurim avilg chis cisum pute tul
211–242,interval,95.923,—,hafrthi repinthic sacn icleri lthl
211–242,interval,95.924,—,ooooooooooooooooooooeoooooooo
211–242,interval,95.925,—,laaetifi hamethefi
211–242,interval,95.926,THEO,cialchus masn unialti ursmnal
211–242,interval,95.927,VERB-R,acil an sacnicn lth cecha sa
